track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,playlist_source,playlist_id,city,artist_genres,artist_popularity,artist_followers,track_popularity,preview_url,markets_available
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton,Traveller,2015-05-04,88,293293,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, outlaw country",85,8604990,88,,184
3ts6xK5GzfMAAriT9AIBmP,Barefoot Blue Jean Night,Jake Owen,Barefoot Blue Jean Night,2011-08-26,79,167426,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",67,1983275,79,,185
03fT3OHB9KyMtGMt2zwqCT,Play It Again,Luke Bryan,Crash My Party,2013-01-01,81,226866,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",80,9280208,81,,184
1cktZnxiONH0hR6Q3DKy8h,Drink In My Hand,Eric Church,Chief,2011-01-01,80,191306,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",77,4083479,80,,183
3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,True Believers,2013-01-01,84,298373,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,71,2719116,84,,184
6Ymvlzom4TQeoKqAWsZRD8,Somethin' 'Bout A Truck,Kip Moore,Up All Night,2012-01-01,72,213826,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,64,1271893,72,,184
2TR7A4ulH9R1PNwMyd8o8U,This Is How We Roll,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,2013-01-01,75,220906,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, pop country, acoustic country",76,5554320,75,,183
1yEwEiTpsaPhQi9lb5EVV4,Knee Deep (feat. Jimmy Buffett),Zac Brown Band,You Get What You Give (Deluxe),2010-09-20,3,203173,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",77,4083899,3,,0
5kjyiH6but1t2UDXq15aeS,Toes,Zac Brown Band,The Foundation,2008-11-17,3,262773,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",77,4083899,3,,0
1TKlBK9cSrM5u4CiL4SETS,Talladega,Eric Church,The Outsiders,2014-01-01,74,262280,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",77,4083479,74,,184
6aUhfNWYnMThF3TGtuYUUu,How Country Feels,Randy Houser,How Country Feels,2013-01-22,2,185906,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",63,1086171,2,,0
1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,Luke Combs,This One's for You,2017-06-02,86,240760,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,country,87,12938346,86,,185
4QAXLB2Hkx3n7LbOFxD34h,Drinking Class,Lee Brice,I Don't Dance (Deluxe Edition),2014-09-09,64,207346,False,Nashville Hits,3ZMLlhKrftx9ReZZhgnG6w,Nashville,"country, acoustic country",71,2432684,64,,185
